Country Name,Access to electricity (% of population),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,E_Score,S_Score,G_Score,ESG_Final,Temperature,GDP_2020,POP_2020,SDI_2019,Economic_Index,Sustainability_Index,Climate_Risk_Index
new zealand,1.0,0.9328154805864748,0.8304770573145137,0.915150237439918,0.9374647728545688,100.0,100.0,93.26690990315568,97.83304492572704,26.87,44800.0,5250000.0,43.6,19.68903879480372,97.75563663438524,51.90747154873874
new zealand,1.0,0.9328154805864748,0.8304770573145137,0.915150237439918,0.9374647728545688,100.0,100.0,93.26690990315568,97.83304492572704,26.81,44800.0,5250000.0,43.6,19.68903879480372,97.75563663438524,42.9713013359724
sweden,1.0,0.9199635833009228,0.8458486281062791,0.87420998724909,0.9131327939190148,100.0,100.0,91.61403390808428,97.30108887387759,26.84,54800.0,10700000.0,32.5,24.12121104674612,97.20467796936144,51.741712023750665
netherlands,1.0,0.8828811613314751,0.8510470588434569,0.8897479012848367,0.9223408655824704,100.0,100.0,91.4260218361982,97.24057970092164,26.87,58400.0,18300000.0,29.9,25.71679305744538,97.14200727873272,57.21754906811858
australia,1.0,0.8631151058142237,0.8433722439576607,0.9219612512314056,0.8937888033451922,100.0,100.0,90.79967760178597,97.03899917883157,26.78,52300.0,27000000.0,15.0,23.01316798376051,96.933225867262,49.58848754741894
liechtenstein,1.0,0.8467692880643959,0.8515395128518708,0.853594891592387,0.9391315433063232,100.0,100.0,89.97782556956966,96.77449708456324,27.0,,40100.0,58.3,,96.65927518985656,65.57149925779338
liechtenstein,1.0,0.8467692880643959,0.8515395128518708,0.853594891592387,0.9391315433063232,100.0,100.0,89.97782556956966,96.77449708456324,26.83,,40100.0,58.3,,96.65927518985656,40.25235032162302
ireland,1.0,0.8157302462752255,0.8436447488620562,0.8808867328335384,0.9202061922072632,100.0,100.0,89.1726952963772,96.51537666498608,26.83,105000.0,5310000.0,42.4,46.37071575149696,96.39089843212574,46.41514101929744
canada,1.0,0.8378703330474363,0.827641199703163,0.8585959506557217,0.8817817006227415,100.0,100.0,87.7351142778751,96.05271042438704,26.92,48200.0,40100000.0,19.1,21.19597736046413,95.91170475929171,68.85040409038467
iceland,1.0,0.8102113958218564,0.8358897915130916,0.7818605785141708,0.9411521148895516,100.0,100.0,86.76646821367207,95.74096463251311,26.89,57100.0,398000.0,23.2,25.14061066469287,95.5888227378907,62.79317169717955
monaco,1.0,0.7411876893605538,0.936599228096948,0.7959400270029406,0.8827133132287875,100.0,100.0,86.43265029817874,95.63352979717644,26.84,226000.0,38300.0,58.3,100.0,95.47755009939291,41.74171202375066
japan,1.0,0.774394664824105,0.8522812219818949,0.8212397322781326,0.8967453234025612,100.0,100.0,86.1223880762782,95.53367604705096,26.84,43800.0,123000000.0,30.5,19.245821569609483,95.37412935875939,52.51690582220028
germany,1.0,0.836182461619847,0.7563040913510145,0.8186090352042192,0.9004945941851386,100.0,100.0,85.25131812523631,95.2533338233012,26.91,53900.0,84100000.0,39.3,23.7223155440713,95.0837727084121,59.531585023915454
germany,1.0,0.836182461619847,0.7563040913510145,0.8186090352042192,0.9004945941851386,100.0,100.0,85.25131812523631,95.2533338233012,26.77,53900.0,84100000.0,39.3,23.7223155440713,95.0837727084121,38.68052119412851
estonia,1.0,0.8071775670149064,0.7731064989404415,0.8127875384884848,0.8706268527100192,100.0,100.0,83.98987017026701,94.84735365555724,26.84,37100.0,1340000.0,20.1,16.27626616080807,94.66329005675568,56.54791357413826
austria,1.0,0.7141022207789267,0.7867139603859634,0.7982454893068109,0.9472414993237898,100.0,100.0,83.53168559725874,94.69989307339466,26.9,56000.0,9110000.0,25.2,24.6530717169792,94.51056186575292,63.507339600857584
united kingdom,1.0,0.7940129160336016,0.7510786641773146,0.8355617674632065,0.8639212615482071,100.0,100.0,83.48615603676247,94.68523999275445,26.82,46600.0,69600000.0,39.1,20.48682980015335,94.49538534558748,46.20484908461166
andorra,1.0,0.7411876893605538,0.8187367125310114,0.7959400270029406,0.8827133132287875,100.0,100.0,83.32820107260727,94.63440429827247,26.77,55000.0,82900.0,58.3,24.20985449178496,94.44273369086909,31.3161801088572
united states,1.0,0.7117502723873202,0.7631462509366005,0.8051386941319969,0.847006384023788,100.0,100.0,80.39038590905335,93.68890774551986,26.97,46600.0,69600000.0,39.1,20.48682980015335,93.46346196968443,68.54527461652624
united states,1.0,0.7117502723873202,0.7631462509366005,0.8051386941319969,0.847006384023788,100.0,100.0,80.39038590905335,93.68890774551986,26.87,46600.0,69600000.0,39.1,20.48682980015335,93.46346196968443,53.651657595250356
united states,1.0,0.7117502723873202,0.7631462509366005,0.8051386941319969,0.847006384023788,100.0,100.0,80.39038590905335,93.68890774551986,26.8,46600.0,69600000.0,39.1,20.48682980015335,93.46346196968443,43.2261256803564
san marino,1.0,0.7411876893605538,0.7598054419170392,0.7066379962064657,0.8827133132287875,100.0,100.0,79.4237980861453,93.37782437110272,26.83,70200.0,33600.0,58.3,30.94675631473741,93.1412660287151,40.25235032162302
belgium,1.0,0.7608600367272307,0.7243593773841619,0.7571063759167532,0.8392766437026348,100.0,100.0,79.19353728885021,93.30371801043799,26.86,53900.0,11800000.0,42.9,23.7223155440713,93.06451242961671,50.689427676067965
france,1.0,0.7258769955433215,0.7475231924281873,0.7539712082041319,0.8118053251135163,100.0,100.0,78.07606181752418,92.94407346266928,26.84,46900.0,66700000.0,52.2,20.61979496771162,92.69202060584139,44.10605310902198
france,1.0,0.7258769955433215,0.7475231924281873,0.7539712082041319,0.8118053251135163,100.0,100.0,78.07606181752418,92.94407346266928,26.78,46900.0,66700000.0,52.2,20.61979496771162,92.69202060584139,35.16988289625615
united arab emirates,1.0,0.7002976056744568,0.8464725999256932,0.7303043546419455,0.7403367691569852,100.0,100.0,77.50277052407978,92.7595673206903,26.77,50500.0,34600000.0,45.6,22.215376978410887,92.5009235080266,36.23866072901224
brunei darussalam,1.0,0.74732721915083,0.8028818234070714,0.7163531566663679,0.7415221298856643,100.0,100.0,77.25710124843675,92.68050194717075,26.9,62000.0,466000.0,33.8,27.31237506814464,92.41903374947891,60.17400626752425
lithuania,1.0,0.6330761077518646,0.7271792219000852,0.7932768039129127,0.8325337983057429,100.0,100.0,76.67714590020974,92.49385106821084,26.84,41700.0,2830000.0,29.1,18.31506539670157,92.2257153000699,53.059541481115005
