Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),CO2 emissions (metric tons per capita),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,ESG_Proxy,E_Score,S_Score,G_Score,ESG_Final
Albania,,1.0,,,,0.3767796524711446,0.5551224185748214,0.5449045107515871,,0.4900412811725742,0.5933695725940255,1.0,1.0,0.4983136945047473,0.8385389665443946
North Macedonia,,1.0,,,,0.373006431791687,0.49007413668629435,0.5993006449495116,,0.48909668235632886,0.5902955791567643,1.0,1.0,0.49426530961329374,0.8372360479651144
Armenia,,1.0,,,,0.46666768028381134,0.46148375481733706,0.5184251248315993,,0.5001104077464623,0.589337393535842,1.0,1.0,0.4930033992448688,0.836829918975779
Tonga,,1.0,,,,0.3822800959663641,0.47631371120526117,0.4245274040953524,,0.6605649116964808,0.5887372245926917,1.0,1.0,0.4922129893330198,0.836575536107794
Europe & Central Asia,,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
European Union,,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
North America,,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
Euro area,,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
Post-demographic dividend,,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
Central Europe and the Baltics,,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
Europe & Central Asia (IDA & IBRD),,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
Europe & Central Asia (excluding high income),,1.0,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5849701945758985,1.0,1.0,0.487251889800151,0.83497887251766
High income,,0.9998774315401426,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.584945680883927,0.9998774315401426,0.9998774315401426,0.487251889800151,0.8348957510787416
OECD members,,0.9991858406355338,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5848073627030053,0.9991858406355338,0.9991858406355338,0.487251889800151,0.8344267394651429
Serbia,,1.0,,,,0.3503194375338349,0.5027645764614209,0.5376545576108868,,0.5114798543872869,0.5804436851986858,1.0,1.0,0.48129057187682533,0.8330603020043441
Dominican Republic,,0.9957716701902748,,,,0.349796917210331,0.5286829311129467,0.5447411951109509,,0.4985372506836625,0.5835059928616332,0.9957716701902748,0.9957716701902748,0.48643729118580004,0.8318492064759255
