Country Name,Access to electricity (% of population),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,ESG_Proxy,E_Score,S_Score,G_Score,ESG_Final,Temperature,GDP_2020,POP_2020,SDI_2019,ESG_Final_norm,GDP_2020_norm,SDI_2019_norm,Temperature_norm,Economic_Index,Sustainability_Index,Climate_Risk_Index
seychelles,1.0,0.8280550626459289,0.6356089259252172,0.5532372266576825,0.6329044693871599,0.7299611369231978,1.0,1.0,0.6782019202333384,0.8964335881724678,26.91,28600.0,133000.0,35.9,0.8964335881724675,0.12508919746657032,0.36175710594315247,0.5957446808510625,0.12508919746657032,0.8927339734111128,0.608494144812798
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.74,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.23404255319148604,0.1800481333906561,0.8921661386427363,0.3153801748309394
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.82,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.40425531914893753,0.1800481333906561,0.8921661386427363,0.43452911100115543
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.75,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.2553191489361737,0.1800481333906561,0.8921661386427363,0.3302737918522208
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.75,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.2553191489361737,0.1800481333906561,0.8921661386427363,0.3302737918522208
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.75,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.2553191489361737,0.1800481333906561,0.8921661386427363,0.3302737918522208
barbados,1.0,0.7626414791447523,0.5830186165578592,0.6154390334232869,0.628420261831094,0.7179038781913984,1.0,1.0,0.6623227633390886,0.8913230937171361,26.7,17300.0,283000.0,71.2,0.8913230937171359,0.07500565101962123,0.8178294573643412,0.14893617021277095,0.07500565101962123,0.8874409211130295,0.1589064819396373
georgia,1.0,0.5953712096410989,0.6714601166400035,0.7098965012518578,0.5717289041546947,0.709691346337531,1.0,1.0,0.6515070311144284,0.8878421948298347,26.93,20400.0,3810000.0,83.9,0.8878421948298345,0.08874538500064266,0.9819121447028426,0.6382978723404236,0.08874538500064266,0.8838356770381428,0.45223486722744366
cyprus,1.0,0.5297906604904882,0.6599333567815694,0.674045023725202,0.6795909576269592,0.7086719997248437,1.0,1.0,0.6501645730024702,0.887410142625592,26.76,45500.0,1370000.0,33.8,0.8874101426255918,0.19999290852439688,0.33462532299741604,0.27659574468085424,0.19999290852439688,0.8833881910008233,0.3932294243773731
bhutan,1.0,0.8056358813994979,0.6230288816192404,0.4228610488083718,0.6890794629696472,0.7081210549593514,1.0,1.0,0.6494389903003056,0.8871766235287665,27.02,13300.0,797000.0,68.3,0.8871766235287663,0.05727696201185163,0.7803617571059431,0.8297872340425485,0.05727696201185163,0.8831463301001019,0.646742536698001
palau,1.0,0.588679772859783,0.5963352889155048,0.5937661757261055,0.7531549074168079,0.7063872289836401,1.0,1.0,0.6471555778507548,0.8864417377448186,27.0,17300.0,17700.0,58.3,0.8864417377448184,0.07500565101962123,0.6511627906976745,0.7872340425531945,0.07500565101962123,0.8823851926169183,0.6557149925779338
palau,1.0,0.588679772859783,0.5963352889155048,0.5937661757261055,0.7531549074168079,0.7063872289836401,1.0,1.0,0.6471555778507548,0.8864417377448186,26.91,17300.0,17700.0,58.3,0.8864417377448184,0.07500565101962123,0.6511627906976745,0.5957446808510625,0.07500565101962123,0.8823851926169183,0.5216724393864414
malaysia,1.0,0.5212565184909287,0.6895607140875674,0.6490469521802558,0.6661609057194868,0.7052050180956477,1.0,1.0,0.6455986309036837,0.8859406551751806,26.94,30900.0,36000000.0,46.6,0.8859406551751804,0.13528319364603786,0.5000000000000001,0.6595744680851112,0.13528319364603786,0.8818662103012279,0.6117021276595778
bahrain,1.0,0.4941402813482985,0.6512061171256313,0.7378857094193265,0.6414794615205545,0.7049423138827622,1.0,1.0,0.6452526549645435,0.8858293074423993,26.84,53600.0,1640000.0,48.8,0.8858293074423991,0.23589350376513032,0.5284237726098191,0.44680851063829863,0.23589350376513032,0.8817508849881812,0.4542388256638633
saudi arabia,1.0,0.5765817104623345,0.6725698703447383,0.6184131326087957,0.628510102729552,0.6992149632290842,1.0,1.0,0.6377098542632297,0.883401757830134,26.77,50500.0,34600000.0,45.6,0.8834017578301337,0.2221537697841089,0.4870801033591732,0.2978723404255348,0.2221537697841089,0.8792366180877432,0.3623866072901224
poland,1.0,0.5833372561276935,0.5918434552605666,0.674457235753795,0.639079587055346,0.6977435068394802,1.0,1.0,0.6357719770563697,0.882778077946704,27.05,40700.0,38100000.0,42.6,0.8827780779467038,0.17871848171507337,0.4483204134366926,0.8936170212765973,0.17871848171507337,0.8785906590187899,0.7910357908626102
poland,1.0,0.5833372561276935,0.5918434552605666,0.674457235753795,0.639079587055346,0.6977435068394802,1.0,1.0,0.6357719770563697,0.882778077946704,26.74,40700.0,38100000.0,42.6,0.8827780779467038,0.17871848171507337,0.4483204134366926,0.23404255319148604,0.17871848171507337,0.8785906590187899,0.3293336632030324
poland,1.0,0.5833372561276935,0.5918434552605666,0.674457235753795,0.639079587055346,0.6977435068394802,1.0,1.0,0.6357719770563697,0.882778077946704,26.83,40700.0,38100000.0,42.6,0.8827780779467038,0.17871848171507337,0.4483204134366926,0.4255319148936181,0.17871848171507337,0.8785906590187899,0.46337621639452486
italy,1.0,0.5798231867651179,0.6326581794865783,0.6454553030330341,0.6227164059578597,0.696130615048518,1.0,1.0,0.6336478323919951,0.8820944503711405,26.87,45100.0,59100000.0,52.5,0.8820944503711403,0.19822003962361992,0.5762273901808787,0.5106382978723474,0.19822003962361992,0.8778826107973318,0.48457859145637955
italy,1.0,0.5798231867651179,0.6326581794865783,0.6454553030330341,0.6227164059578597,0.696130615048518,1.0,1.0,0.6336478323919951,0.8820944503711405,26.84,45100.0,59100000.0,52.5,0.8820944503711403,0.19822003962361992,0.5762273901808787,0.44680851063829863,0.19822003962361992,0.8778826107973318,0.4398977403925454
samoa,1.0,0.6205440416511887,0.6071575110681543,0.4506562498270225,0.7448289139189557,0.6846373432930642,1.0,1.0,0.6185114345180925,0.8772230029811167,26.88,5810.0,219000.0,76.7,0.8772230029811164,0.024079991844803056,0.888888888888889,0.5319148936170208,0.024079991844803056,0.8728371448393641,0.40567375886524787
samoa,1.0,0.6205440416511887,0.6071575110681543,0.4506562498270225,0.7448289139189557,0.6846373432930642,1.0,1.0,0.6185114345180925,0.8772230029811167,26.88,5810.0,219000.0,76.7,0.8772230029811164,0.024079991844803056,0.888888888888889,0.5319148936170208,0.024079991844803056,0.8728371448393641,0.40567375886524787
malta,1.0,0.4784835020848149,0.5866548915669653,0.654683855502424,0.6973670754772233,0.6834378649262856,1.0,1.0,0.6169317466635801,0.8767146015543028,26.9,52700.0,545000.0,54.2,0.8767146015543026,0.23190454873838215,0.5981912144702843,0.5744680851063819,0.23190454873838215,0.8723105822211933,0.522670295233382
malta,1.0,0.4784835020848149,0.5866548915669653,0.654683855502424,0.6973670754772233,0.6834378649262856,1.0,1.0,0.6169317466635801,0.8767146015543028,26.72,52700.0,545000.0,54.2,0.8767146015543026,0.23190454873838215,0.5981912144702843,0.19148936170212494,0.23190454873838215,0.8723105822211933,0.25458518885040216
croatia,1.0,0.4950938564212282,0.6545330814897705,0.645427296635083,0.6155968178379442,0.6821302104768051,1.0,1.0,0.6152095931767348,0.8761603494674719,26.81,37500.0,3850000.0,69.0,0.8761603494674717,0.1645355305088577,0.789405684754522,0.382978723404257,0.1645355305088577,0.8717365310589117,0.33126340095662327
